var,	var,	var,	var,	var,	var,	pt2,	pt2,	pt2,	pt2,	pt2,	pt2
52k	,62k,	76.7k,	100k,	121k,	161.6k,	52k,	62k,	76.7k,	100k,	121k,	161.6k
-98.12335944,	-98.12337396,	-98.12338397,	-98.12338986,	-98.12339116,	-98.12339147,	-98.1234859,	-98.12348819,	-98.12348969,	-98.1234905,	-98.12349067,	-98.12349072
-98.12281343,	-98.12282287,	-98.12282958,	-98.1228335,	-98.12283437,	-98.12283458,	-98.12292676,	-98.12292822,	-98.12292919,	-98.12292971,	-98.12292983,	-98.12292986
-98.12169365,	-98.12170515,	-98.12171347,	-98.12171838,	-98.12171947,	-98.12171975,	-98.12180222,	-98.12180395,	-98.12180518,	-98.12180587,	-98.12180602,	-98.12180606
-98.12001076,	-98.12002411,	-98.12003358,	-98.12003935,	-98.12004066,	-98.12004098,	-98.12011012,	-98.12011217,	-98.12011359,	-98.12011442,	-98.1201146,	-98.12011465
-98.11776192,	-98.11777469,	-98.11778429,	-98.11779036,	-98.11779175,	-98.11779209,	-98.11784606,	-98.117848,	    -98.11784944,	 -98.1178503,    -98.11785048,	-98.11785054
-98.1149444,	-98.11495377,	-98.1149613,	-98.11496628,	-98.11496744,	-98.11496775,	-98.11500677,	-98.11500811,	-98.11500914,	-98.11500983,	-98.11500998,	-98.11501003
