,var,var,var,var,var,PT2,PT2,PT2,PT2,PT2
,0.0001,0.00008,0.00006,0.00004,0.00002,0.0001,0.00008,0.00006,0.00004,0.00002
0,-171.177363,-171.1807592,-171.1809451,-171.1841273,-171.1866329,-171.1864237,-171.187472,-171.187528,-171.1884603,-171.1891051
1,-171.1771991,-171.1805576,-171.1807487,-171.1838939,-171.1864011,-171.1862071,-171.1872371,-171.187293,-171.1882152,-171.1888615
2,-171.1768712,-171.1801489,-171.1803527,-171.1834178,-171.1859318,-171.1857682,-171.1867599,-171.1868159,-171.1877153,-171.188364
3,-171.1763624,-171.1795204,-171.1797451,-171.1826902,-171.1852056,-171.1850874,-171.1860193,-171.1860754,-171.1869401,-171.1875892
