v3,	v2,	v1,	v,	v3,	v2,	v1,	v
var,	var,	var,	var,	pt2,	pt2,	pt2,	pt2
-173.3855946,	-173.3856128,	-173.3856342,	-173.3856678,	-173.3856973,	-173.3857003,	-173.3857038,	-173.3857088
-173.3855209,	-173.3855393,	-173.3855608,	-173.3855943,	-173.3856237,	-173.3856267,	-173.3856302,	-173.3856352
